contestant_name,age,num_season,finish,gender,poc
Brad Culpepper,47,34,2,M,0
Sarah Lacina,32,34,1,F,0
Katrina Radke,46,35,18,F,0
Simone Nguyen,25,35,17,F,1
Patrick Bolton,24,35,16,M,0
Alan Ball,31,35,15,M,1
Roark Luskin,27,35,14,F,0
Ali Elliott,24,35,13,F,1
Jessica Johnston,29,35,12,F,0
Desi Williams,27,35,11,F,1
Cole Medders,24,35,10,M,0
JP Hilsabeck,28,35,9,M,0
Joe Mena,34,35,8,M,1
Lauren Rimmer,35,35,7,F,0
Ashley Nolan,26,35,6,F,0
Mike Zahalsky,43,35,5,M,0
Devon Pinto,24,35,4,M,1
Ryan Ulrich,23,35,3,M,0
Chrissy Hofbeck,46,35,2,F,0
Ben Driebergen,34,35,1,M,0
Stephanie Gonzalez,26,36,20,F,1
Jacob Derwin,22,36,19,M,0
Morgan Ricke,29,36,18,F,0
Brendan Shapiro,41,36,17,M,0
Stephanie Johnson,34,36,16,F,0
James Lim,24,36,15,M,1
Bradley Kleihege,26,36,14,M,0
Chris Noble,27,36,13,M,0
Libby Vincek,24,36,12,F,0
Desiree Afuye,21,36,11,F,1
Jenna Bowman,23,36,10,F,0
Michael Yerger,18,36,9,M,0
Chelsea Townsend,24,36,8,F,0
Kellyn Bechtold,31,36,7,F,0
Sebastian Noel,22,36,6,M,0
Donathan Hurley,26,36,5,M,0
Angela Perkins,42,36,4,F,0
Laurel Johnson,29,36,3,F,1
Domenick Abbate,38,36,2,M,0
Wendell Holland,33,36,1,M,1
Pat Cusack,41,37,20,M,0
Jessica Peet,19,37,19,F,0
Jeremy Crawford,40,37,18,M,1
Bi Nguyen,28,37,17,F,1
Natalia Azoqa,25,37,16,F,1
Natalie Cole,57,37,15,F,1
Lyrsa Torres,36,37,14,F,1
Elizabeth Olson,31,37,13,F,0
John Hennigan,38,37,12,M,0
Dan Rengering,27,37,11,M,0
Alec Merlino,24,37,10,M,0
Carl Boudreaux,41,37,9,M,1
Gabby Pascuzzi,25,37,8,F,1
Christian Hubicki,32,37,7,M,0
Davie Rickenbacker,30,37,6,M,1
Alison Raybould,28,37,5,F,0
Kara Kay,30,37,4,F,0
Angelina Keeley,28,37,3,F,1
Mike White,47,37,2,M,0
Nick Wilson,27,37,1,M,0
Reem Daly,46,38,18,F,0
Keith Sowell,19,38,17,M,1
Aubry Bracco,32,38,16,F,0
Wendy Diaz,25,38,15,F,1
Joe Anglim,29,38,14,M,0
Eric Hafemann,35,38,13,M,0
Julia Carter,25,38,12,F,1
David Wright,44,38,11,M,0
Kelley Wentworth,31,38,10,F,0
Wardog DaSilva,38,38,9,M,0
Ron Clark,46,38,8,M,0
Aurora McCreary,32,38,7,F,0
Victoria Baamonde,23,38,6,F,1
Lauren O'Connell,21,38,5,F,0
Rick Devens,33,38,4,M,0
Julie Rosenberg,46,38,3,F,0
Gavin Whitson,23,38,2,M,0
Chris Underwood,25,38,1,M,1
Ronnie Bardah,35,39,20,M,1
Molly Byman,27,39,19,F,0
Vince Moua,27,39,18,M,1
Chelsea Walker,26,39,17,F,0
Tom Laidlaw,60,39,16,M,0
Jason Linden,32,39,15,M,0
Jack Nichting,23,39,14,M,0
Kellee Kim,29,39,13,F,1
Jamal Shipman,33,39,12,M,1
Aaron Meredith,36,39,11,M,1
Missy Byrd,24,39,10,F,1
Elizabeth Beisel,26,39,9,F,0
Karishma Patel,37,39,8,F,1
Elaine Stott,41,39,7,F,0
Dan Spilo,48,39,6,M,0
Janet Carbin,59,39,5,F,0
Lauren Beck,28,39,4,F,1
Noura Salman,36,39,3,F,1
Dean Kowalski,28,39,2,M,0
Tommy Sheehan,26,39,1,M,0
Amber Mariano,40,40,20,F,0
Danni Boatwright,43,40,19,F,0
Ethan Zohn,45,40,18,M,0
Rob Mariano,43,40,17,M,0
Parvati Shallow,36,40,16,F,0
Sandra Diaz-Twine,44,40,15,F,1
Yul Kwon,44,40,14,M,1
Wendell Holland,35,40,13,M,1
Adam Klein,28,40,12,M,0
Tyson Apostol,39,40,11,M,0
Sophie Clarke,29,40,10,F,0
Kim Spradlin-Wolfe,36,40,9,F,0
Jeremy Collins,41,40,8,M,1
Nick Wilson,28,40,7,M,0
Denise Stapley,48,40,6,F,0
Ben Driebergen,36,40,5,M,0
Sarah Lacina,35,40,4,F,0
Michele Fitzgerald,29,40,3,F,0
Natalie Anderson,33,40,2,F,1
Tony Vlachos,45,40,1,M,0
Eric Abraham,51,41,18,M,1
Sara Wilson,24,41,17,F,0
David Voce,35,41,16,M,0
Brad Reese,50,41,15,M,0
JD Robinson,20,41,14,M,1
Genie Chen,46,41,13,F,1
Sydney Segal,26,41,12,F,0
Tiffany Seely,47,41,11,F,0
Naseer Muttalif,37,41,10,M,1
